id_aviso,tipo,zona_barrio,precio,superficie,ambientes,dormitorios,banios,antiguedad,cochera,balcon,pileta,fecha_publicacion,latitud,longitud,precio_outlier,superficie_missing
A-158825,Departamento,Caballito,363000.0,32.0,1,0,1,40.0,1,1,0,20/02/2025,-34.61922583614034,-58.43959555425291,0,0
A-245037,Casa,Belgrano,2169000.0,103.0,4,3,2,2.0,1,1,0,14/06/2025,-34.57559057722809,-58.46010269959957,0,0
A-322839,Departamento,Colegiales,586000.0,36.0,1,0,1,41.0,0,0,0,28/03/2024,-34.57487983910318,-58.434229352976836,0,0
A-728510,Departamento,Flores,517000.0,44.0,2,1,1,11.0,0,0,0,13/01/2025,-34.642530846825004,-58.47318977639928,0,0
A-100958,Departamento,Villa Urquiza,787000.0,58.0,3,2,2,26.0,0,1,0,07/07/2025,-34.57758194871214,-58.4831297720623,0,0
A-171447,Departamento,Caballito,694000.0,49.0,2,1,1,4.0,0,1,0,18/06/2025,-34.62385902428844,-58.43377043223661,0,0
A-754799,Departamento,Palermo,1231000.0,74.0,2,1,1,7.0,0,0,0,06/02/2024,-34.57184727978569,-58.43157418953328,0,0
A-735761,Departamento,Almagro,1222500.0,46.0,2,1,1,3.0,0,1,0,13/06/2025,-34.6001631233929,-58.422345671723036,0,0
A-311775,Ph,Palermo,1446000.0,61.0,3,2,2,2.0,0,0,1,03/07/2025,-34.57462542734957,-58.40225611309257,0,0
A-487572,Casa,Flores,564000.0,60.0,3,2,1,5.0,0,0,0,13/02/2025,-34.64398122788465,-58.48346878196107,0,0
A-173014,Departamento,Colegiales,1126000.0,63.0,2,1,1,12.0,0,1,0,05/01/2024,-34.60259734617303,-58.452874291802935,0,0
A-983289,Ph,Villa Crespo,1322000.0,50.0,2,1,1,2.0,1,1,0,19/06/2024,-34.60849761171015,-58.45218272769247,0,0
A-247019,Departamento,Villa Urquiza,543000.0,43.0,2,1,1,15.0,1,1,0,29/05/2024,-34.585986203257136,-58.4954901817662,0,0
A-810735,Departamento,Belgrano,736500.0,24.0,1,0,1,20.0,1,1,0,13/03/2025,-34.56132991093609,-58.4546285850137,0,0
A-522194,Ph,Boedo,2014000.0,151.0,5,4,3,7.0,1,1,0,21/10/2024,-34.61192808092624,-58.42223846503785,0,0
A-807226,Departamento,Almagro,534000.0,34.0,2,1,1,17.0,0,1,0,21/09/2024,-34.63117337806677,-58.416507917650435,0,0
A-452598,Departamento,Recoleta,638000.0,39.0,2,1,1,3.0,1,1,0,10/07/2024,-34.57971885936599,-58.396770834199785,0,0
A-533237,Ph,Boedo,1268000.0,91.0,4,3,2,12.0,0,0,0,21/05/2025,-34.64408389114867,-58.41204036650625,0,0
A-721013,Departamento,Colegiales,889000.0,62.0,2,1,1,5.0,0,0,0,22/01/2024,-34.56902834505855,-58.4583014004462,0,0
A-951258,Departamento,Colegiales,889000.0,61.0,3,2,1,25.0,0,0,0,28/08/2024,-34.547481732011015,-58.446076065840764,0,0
A-657522,Ph,Nuñez,706500.0,48.0,2,1,1,54.0,0,0,0,03/07/2024,-34.538812072439,-58.44353751502658,0,0
A-354218,Departamento,Flores,512000.0,45.0,2,1,1,1.0,0,0,0,16/06/2025,-34.624029595659124,-58.455002800458125,0,0
A-553666,Departamento,Almagro,987000.0,50.0,2,1,1,8.0,0,0,0,08/03/2025,-34.5864667485045,-58.43992081779287,0,0
A-547889,Departamento,Palermo,610000.0,51.0,3,2,2,14.0,0,1,0,29/08/2024,-34.57815695674812,-58.430051830416154,0,0
A-920318,Ph,Villa Urquiza,1527000.0,93.0,4,3,2,15.0,1,0,0,11/06/2025,-34.597516586500454,-58.49051988266488,0,0
A-620099,Departamento,Belgrano,994000.0,69.0,3,2,1,12.0,0,1,0,26/01/2024,-34.561456463162266,-58.449978257594466,0,0
A-506356,Departamento,San Telmo,542000.0,47.0,2,1,1,24.0,0,1,1,01/07/2025,-34.61324415804237,-58.354306031589154,0,0
A-124072,Departamento,Villa Urquiza,1212000.0,85.0,4,3,2,6.0,0,1,0,28/07/2025,-34.57300023851821,-58.473630612363664,0,0
A-510661,Departamento,Almagro,419000.0,40.0,1,0,1,3.0,0,1,0,24/10/2024,-34.58509485376954,-58.414535664723154,0,0
A-355700,Departamento,San Telmo,1492000.0,97.0,4,3,2,32.0,1,1,0,02/03/2024,-34.59933199390471,-58.37802974308833,0,0
A-306646,Departamento,Colegiales,1390000.0,66.0,4,3,2,2.0,0,1,0,25/05/2024,-34.60005312835331,-58.44977145807749,0,0
A-586534,Departamento,Colegiales,646500.0,25.0,1,0,1,13.0,0,0,0,21/03/2024,-34.575810332321424,-58.44839310557146,0,0
A-520589,Ph,Colegiales,2448000.0,141.0,6,5,4,0.0,1,0,0,18/12/2024,-34.57210766936044,-58.45540148167953,0,0
A-544926,Departamento,Villa Crespo,561000.0,35.0,2,1,1,16.0,0,1,0,05/02/2025,-34.587992418040685,-58.440989895178795,0,0
A-985084,Departamento,San Telmo,447000.0,48.0,2,1,1,2.0,0,1,0,06/07/2025,-34.62146397729615,-58.37760742721443,0,0
A-897535,Departamento,Caballito,993000.0,56.0,3,2,1,16.0,1,1,0,25/10/2024,-34.5999299930811,-58.45388174514783,0,0
A-284239,Departamento,Villa Crespo,621000.0,34.0,2,1,1,17.0,0,1,0,22/04/2024,-34.612603242231565,-58.44258376420171,0,0
A-778320,Departamento,Villa Urquiza,1187000.0,80.0,4,3,2,20.0,0,1,0,22/08/2025,-34.58125147317931,-58.50582657551628,0,0
A-590418,Departamento,Belgrano,1878000.0,105.0,5,4,3,7.0,0,1,0,24/05/2024,-34.56765891664226,-58.45867104538227,0,0
A-491286,Departamento,Caballito,691000.0,47.0,2,1,1,7.0,0,0,0,17/06/2025,-34.61063548371373,-58.44073074386311,0,0
A-723321,Departamento,Recoleta,864000.0,32.0,1,0,1,2.0,0,0,0,06/10/2024,-34.58032479086077,-58.403793684826276,0,0
A-927124,Casa,Colegiales,1016000.0,69.0,3,2,1,7.0,1,0,0,02/04/2025,-34.581288253198544,-58.45092665254268,0,0
A-256130,Departamento,Flores,809000.0,59.0,3,2,1,2.0,0,0,0,26/06/2024,-34.65166534094288,-58.462602254699625,0,0
A-858817,Departamento,Villa Crespo,1078500.0,47.0,2,1,1,20.0,0,1,0,08/09/2024,-34.58815714329557,-58.42581542173139,0,0
A-144817,Departamento,San Telmo,1138000.0,75.0,4,3,2,13.0,0,1,0,30/04/2025,-34.616777512208124,-58.35404475878965,0,0
A-978654,Departamento,Palermo,1396000.0,89.0,5,4,3,27.0,0,1,0,28/09/2024,-34.57202600647584,-58.43311638906763,0,0
A-962666,Departamento,Colegiales,384000.0,27.0,2,1,1,38.0,0,1,0,27/05/2025,-34.560869701778344,-58.470309575556584,0,0
A-914073,Departamento,Almagro,557000.0,64.0,3,2,1,6.0,0,0,0,21/06/2025,-34.62027057807653,-58.40198364994216,0,0
A-898411,Ph,Villa Urquiza,1484000.0,82.0,3,2,1,7.0,1,0,1,01/01/2024,-34.57068324563081,-58.48809824386278,0,0
A-492789,Ph,Palermo,896000.0,39.0,2,1,1,0.0,0,1,0,05/05/2025,-34.551715524472755,-58.418745410505736,0,0
A-722706,Departamento,Nuñez,1717000.0,78.0,3,2,1,12.0,0,1,0,28/05/2024,-34.54787408842518,-58.47581161820721,0,0
A-754607,Casa,San Telmo,1653000.0,120.0,4,3,2,2.0,1,0,1,03/03/2025,-34.616939243820596,-58.37031410285129,0,0
A-553685,Departamento,Villa Urquiza,1870000.0,124.0,6,5,3,3.0,1,1,0,06/04/2024,-34.58248059424673,-58.51078379916925,0,0
A-538884,Departamento,Colegiales,293000.0,25.0,1,0,1,2.0,0,0,0,17/08/2025,-34.57149658508717,-58.4505602985155,0,0
A-623859,Departamento,Belgrano,315000.0,20.0,1,0,1,1.0,0,1,0,03/05/2024,-34.558944657358545,-58.45124705873632,0,0
A-822727,Departamento,Villa Urquiza,493000.0,38.0,1,0,1,15.0,0,0,0,07/03/2025,-34.57136139643408,-58.486553621636766,0,0
A-391977,Departamento,Villa Urquiza,439000.0,40.0,1,0,1,18.0,1,0,0,07/07/2024,-34.581311592734075,-58.47120493740494,0,0
A-541420,Departamento,Almagro,450000.0,29.0,1,0,1,9.0,1,1,0,26/08/2024,-34.59313161185628,-58.421721040282826,0,0
A-508537,Casa,Belgrano,1416000.0,60.0,3,2,2,18.0,1,0,0,17/02/2024,-34.543372803238775,-58.47148939308144,0,0
A-864810,Ph,Villa Urquiza,743000.0,45.0,2,1,1,7.0,1,0,0,20/04/2024,-34.569543737213735,-58.479684662171564,0,0
A-169774,Departamento,Villa Urquiza,642000.0,27.0,2,1,1,15.0,1,0,0,27/10/2024,-34.59895559938696,-58.4788734977438,0,0
A-821782,Departamento,Villa Urquiza,335000.0,26.0,1,0,1,5.0,0,0,0,16/11/2024,-34.57857553952965,-58.48337839091587,0,0
A-679597,Departamento,Nuñez,998000.0,65.0,3,2,1,42.0,0,0,0,11/11/2024,-34.53611591018463,-58.46842954678814,0,0
A-536761,Departamento,Boedo,672000.0,45.0,3,2,1,1.0,0,1,0,06/07/2025,-34.62815666585975,-58.423282123499334,0,0
A-197872,Departamento,Recoleta,1153000.0,52.0,2,1,1,9.0,0,0,0,23/07/2024,-34.599350346472384,-58.41176192170684,0,0
A-603615,Departamento,Colegiales,877000.0,44.0,2,1,1,34.0,0,0,0,27/01/2025,-34.56354965493284,-58.453617798954255,0,0
A-117031,Departamento,Villa Urquiza,1267500.0,68.0,3,2,2,21.0,1,1,0,30/06/2024,-34.58838741677592,-58.46558269952978,0,0
A-369855,Ph,San Telmo,1497000.0,103.0,4,3,1,16.0,1,0,0,21/03/2025,-34.61524378071343,-58.378862858706945,0,0
A-681419,Departamento,Almagro,791000.0,55.0,2,1,1,7.0,0,1,0,21/12/2024,-34.62948304502762,-58.42262390628702,0,0
A-602901,Departamento,Almagro,609000.0,37.0,2,1,1,3.0,0,1,0,08/04/2024,-34.65426038349714,-58.429691806692965,0,0
A-139463,Departamento,San Telmo,1051000.0,69.0,3,2,1,33.0,1,1,0,15/02/2025,-34.62208276367578,-58.376232029888065,0,0
A-211664,Ph,Nuñez,475000.0,47.0,2,1,1,31.0,1,0,1,25/03/2024,-34.54067469988449,-58.465598278370436,0,0
A-569794,Departamento,Almagro,1318500.0,73.0,4,3,2,19.0,0,1,0,21/01/2024,-34.60287412884991,-58.422236287479656,0,0
A-485810,Casa,Flores,1047000.0,70.0,3,2,1,0.0,1,1,0,18/01/2024,-34.62912649465968,-58.46999536311867,0,0
A-964890,Departamento,Recoleta,2180000.0,63.0,4,3,2,2.0,1,0,0,01/04/2025,-34.593839310454015,-58.40470639561826,0,0
A-840006,Departamento,Palermo,1116000.0,48.0,2,1,1,2.0,0,0,0,21/10/2024,-34.56240695787009,-58.42640632267206,0,0
A-467834,Departamento,Caballito,674000.0,61.0,3,2,2,29.0,0,1,0,01/08/2024,-34.610148329599284,-58.44307710202954,0,0
A-581995,Departamento,Colegiales,477000.0,20.0,1,0,1,2.0,0,1,0,16/09/2024,-34.56744333482829,-58.44063764642561,0,0
A-343929,Departamento,Nuñez,907000.0,88.0,4,3,2,68.0,0,1,0,18/02/2024,-34.563834545310215,-58.45972264009896,0,0
A-808000,Departamento,Caballito,1310000.0,92.0,5,4,3,22.0,1,1,0,15/05/2025,-34.6198716938717,-58.42298554453244,0,0
A-399116,Departamento,Belgrano,671000.0,41.0,2,1,1,1.0,0,1,0,02/09/2024,-34.548046618827456,-58.47975441303073,0,0
A-589942,Ph,Caballito,723000.0,53.0,2,1,1,0.0,1,0,1,01/03/2024,-34.60722622608608,-58.45761765751939,0,0
A-517782,Ph,Belgrano,871000.0,40.0,2,1,1,5.0,1,0,0,08/03/2025,-34.56499326232989,-58.45876963178481,0,0
A-816741,Departamento,Boedo,406000.0,31.0,1,0,1,21.0,1,1,0,21/03/2024,-34.62019709845831,-58.40932153796462,0,0
A-493139,Ph,Nuñez,2044000.0,83.0,3,2,1,6.0,0,0,1,25/08/2024,-34.538563665568375,-58.42210339152985,0,0
A-876627,Departamento,Flores,1525000.0,126.0,7,6,4,10.0,0,1,0,19/06/2024,-34.64821412672477,-58.47717551228236,0,0
A-833669,Departamento,Belgrano,630000.0,33.0,1,0,1,7.0,0,1,0,19/03/2024,-34.572439559658655,-58.45708338710893,0,0
A-660476,Departamento,Caballito,788000.0,56.0,3,2,1,3.0,0,0,0,01/12/2024,-34.60875504850922,-58.4162945096741,0,0
A-279106,Departamento,Recoleta,1575000.0,74.0,3,2,2,1.0,0,1,0,01/07/2024,-34.603780714041186,-58.385888671716025,0,0
A-851280,Ph,Palermo,823000.0,47.0,2,1,1,14.0,1,0,1,26/06/2024,-34.580393664568845,-58.4120597136966,0,0
A-154549,Departamento,Villa Crespo,476000.0,58.0,3,2,2,29.0,0,1,0,15/02/2025,-34.60305913743521,-58.41504844928682,0,0
A-209724,Departamento,Villa Crespo,561000.0,35.0,2,1,1,16.0,0,1,0,23/06/2025,-34.587992418040685,-58.440989895178795,0,0
A-627913,Departamento,Nuñez,1008000.0,64.0,3,2,1,3.0,0,1,0,05/08/2025,-34.55591243180053,-58.435690759420574,0,0
A-104070,Departamento,Flores,498000.0,36.0,2,1,1,1.0,0,1,0,26/12/2024,-34.62505822163546,-58.467188170427605,0,0
A-793117,Departamento,Caballito,331000.0,25.0,2,1,1,6.0,0,0,0,24/12/2024,-34.63356661947738,-58.450461613925015,0,0
A-941840,Ph,Recoleta,690000.0,43.0,2,1,1,1.0,1,1,0,30/01/2024,-34.59464888472681,-58.39041443394724,0,0
A-943729,Departamento,Belgrano,322000.0,20.0,1,0,1,3.0,0,0,0,01/06/2025,-34.541972754678916,-58.44677185928223,0,0
A-471635,Departamento,Nuñez,829000.0,49.0,2,1,1,16.0,0,1,0,31/08/2024,-34.540624483752694,-58.45631482449715,0,0
A-124148,Departamento,Almagro,1417500.0,65.0,3,2,1,11.0,1,1,0,02/04/2025,-34.61838885856211,-58.41566255525147,0,0
A-368803,Ph,Recoleta,661000.0,52.0,3,2,1,20.0,0,0,0,11/11/2024,-34.57509503821415,-58.389577289143375,0,0
A-422568,Departamento,Almagro,466500.0,23.0,1,0,1,15.0,0,0,0,14/08/2024,-34.61525694377724,-58.411352673415855,0,0
A-654403,Departamento,Belgrano,861000.0,63.0,3,2,2,44.0,0,1,0,01/07/2025,-34.58026428497775,-58.47254756560346,0,0
A-381858,Departamento,Villa Urquiza,335000.0,33.0,1,0,1,3.0,0,0,0,18/12/2024,-34.583266503955606,-58.48973638059549,0,0
A-389862,Departamento,Boedo,566000.0,41.0,1,0,1,10.0,0,1,0,03/05/2024,-34.62449018974469,-58.418348829204255,0,0
A-925366,Departamento,San Telmo,725000.0,57.0,2,1,1,45.0,0,1,0,09/01/2024,-34.63671022265388,-58.38577779385817,0,0
A-300981,Ph,Nuñez,819000.0,59.0,2,1,1,19.0,1,0,1,08/07/2025,-34.528171861771035,-58.46187262784673,0,0
A-380308,Departamento,Villa Urquiza,1138000.0,84.0,4,3,3,2.0,1,0,0,02/11/2024,-34.56590076401271,-58.47753162552404,0,0
A-815968,Departamento,Colegiales,429000.0,34.0,1,0,1,18.0,0,1,0,10/08/2024,-34.57025331854163,-58.45720951037492,0,0
A-291252,Departamento,Flores,798000.0,64.0,3,2,1,5.0,0,0,0,23/01/2024,-34.614186279535275,-58.469093482272065,0,0
A-578239,Casa,Caballito,2249000.0,122.0,4,3,2,20.0,1,1,0,13/12/2024,-34.61808894772126,-58.445170321929076,0,0
A-775380,Departamento,Caballito,385000.0,29.0,1,0,1,5.0,0,1,0,29/11/2024,-34.645136860304156,-58.44084975004597,0,0
A-593617,Ph,Flores,809000.0,87.0,4,3,2,37.0,0,1,0,25/02/2024,-34.64348308529085,-58.476575185658604,0,0
A-281349,Departamento,Flores,628000.0,55.0,2,1,1,0.0,0,1,0,12/11/2024,-34.63548140249625,-58.459750998800274,0,0
A-375242,Departamento,Almagro,1851000.0,117.0,6,5,3,37.0,0,0,0,03/11/2024,-34.60406334815338,-58.44280117566994,0,0
A-864971,Departamento,Palermo,972000.0,50.0,3,2,1,14.0,0,1,0,08/08/2025,-34.54923245237094,-58.4255104834611,0,0
A-126632,Departamento,Flores,305000.0,28.0,1,0,1,2.0,0,1,0,06/02/2024,-34.62561627738335,-58.43750099485204,0,0
A-286749,Departamento,San Telmo,1577000.0,99.0,4,3,2,6.0,1,0,0,16/07/2025,-34.63542244650929,-58.36518492913727,0,0
A-351818,Departamento,Recoleta,1775000.0,61.0,3,2,1,2.0,0,1,0,03/10/2024,-34.60107763653001,-58.38717679918764,0,0
A-385322,Departamento,Almagro,340000.0,31.0,1,0,1,0.0,0,0,0,18/08/2024,-34.60033050214601,-58.42952977717883,0,0
A-123432,Departamento,San Telmo,1246000.0,77.0,3,2,2,12.0,1,1,0,23/03/2025,-34.62764756854433,-58.38157913114639,0,0
A-801904,Departamento,Palermo,713000.0,50.0,3,2,1,14.0,0,1,0,19/06/2025,-34.54923245237094,-58.4255104834611,0,0
A-376671,Departamento,Caballito,664000.0,57.0,3,2,2,18.0,0,1,0,30/05/2024,-34.61497224039377,-58.417892284924164,0,0
A-386102,Departamento,Caballito,1009000.0,80.0,3,2,1,13.0,0,1,0,29/06/2025,-34.613575732195585,-58.45690207352563,0,0
A-454552,Departamento,Nuñez,708000.0,55.0,2,1,1,14.0,0,1,0,04/11/2024,-34.5472059458939,-58.464340682058456,0,0
A-178119,Departamento,Villa Urquiza,481000.0,36.0,1,0,1,7.0,0,1,0,02/02/2025,-34.556934298261424,-58.49162858442846,0,0
A-254436,Departamento,Villa Urquiza,772500.0,45.0,2,1,1,26.0,0,0,0,02/11/2024,-34.58598169554464,-58.48713306240204,0,0
A-444464,Departamento,Almagro,724000.0,50.0,2,1,1,8.0,0,0,0,24/08/2024,-34.5864667485045,-58.43992081779287,0,0
A-584831,Casa,Villa Crespo,1891000.0,150.0,5,4,3,23.0,0,0,1,24/06/2024,-34.59666809918239,-58.461697522983066,0,0
A-484657,Departamento,Caballito,1575000.0,130.0,6,5,4,16.0,0,1,0,01/11/2024,-34.61048478774318,-58.46291499320636,0,0
A-603335,Ph,Villa Crespo,1191000.0,75.0,3,2,1,14.0,1,0,0,24/03/2024,-34.615839252356885,-58.43931131814662,0,0
A-765621,Departamento,Colegiales,937000.0,59.0,3,2,1,11.0,0,1,0,12/05/2025,-34.58810550789515,-58.459029915118805,0,0
A-832584,Casa,Flores,1287000.0,92.0,3,2,2,1.0,1,1,0,01/08/2024,-34.626232173691626,-58.475224767119784,0,0
A-556742,Ph,Colegiales,536000.0,39.0,2,1,1,24.0,1,0,0,10/04/2025,-34.560869168284306,-58.47087794528725,0,0
A-377030,Departamento,Caballito,1602000.0,84.0,3,2,1,3.0,1,0,0,14/12/2024,-34.61864877219314,-58.434823858801465,0,0
A-860596,Departamento,Villa Urquiza,802000.0,77.0,4,3,1,4.0,0,1,0,20/08/2025,-34.574771725401426,-58.5015528873785,0,0
A-607633,Departamento,San Telmo,468000.0,32.0,1,0,1,11.0,0,0,0,01/08/2025,-34.625544144313004,-58.369852523064566,0,0
A-895042,Departamento,San Telmo,945000.0,74.0,4,3,2,33.0,1,1,0,02/03/2025,-34.62194670666298,-58.37446255607471,0,0
A-527529,Casa,Flores,1356000.0,100.0,5,4,2,45.0,0,0,0,12/04/2025,-34.61557408029563,-58.45985097276065,0,0
A-621144,Ph,Belgrano,1394000.0,82.0,4,3,2,16.0,1,0,0,01/09/2024,-34.56195648357556,-58.46438714071406,0,0
A-784885,Departamento,Nuñez,701000.0,50.0,2,1,1,1.0,0,0,0,23/08/2024,-34.532252950538776,-58.47190488139559,0,0
A-371151,Departamento,Boedo,721000.0,62.0,2,1,1,38.0,0,0,0,05/02/2025,-34.6167020642467,-58.4111314632565,0,0
A-501122,Departamento,Belgrano,1159000.0,54.0,3,2,2,8.0,0,1,0,15/08/2025,-34.56421709140077,-58.44513791389757,0,0
A-941127,Departamento,Caballito,359000.0,30.0,2,1,1,31.0,0,1,0,07/12/2024,-34.61500943828052,-58.444438430916065,0,0
A-811705,Departamento,Nuñez,927000.0,46.0,2,1,1,8.0,0,0,1,29/11/2024,-34.54015429769162,-58.468074148380595,0,0
A-547857,Departamento,Villa Crespo,617000.0,42.0,2,1,1,53.0,0,0,0,05/01/2024,-34.59260071676659,-58.44582168853689,0,0
A-535214,Departamento,Palermo,1823000.0,74.0,3,2,1,21.0,0,1,0,23/06/2024,-34.564461633305214,-58.41872207959917,0,0
A-944113,Departamento,Recoleta,1259000.0,64.0,3,2,1,5.0,0,0,0,22/07/2025,-34.596214433711744,-58.39846316465376,0,0
